V1	V2	V3	V4
B	D	C	A
B	B	B	B
C	B	A	A
D	D	D	A
A	C	B	A
D	C	C	A
D	B	A	A
C	B	D	D
C	D	B	B
A	C	D	C
A	A	B	C
A	A	A	A
C	B	C	A
B	D	B	A
D	C	A	D
B	D	C	C
C	C	C	A
D	B	A	B
B	B	B	B
D	A	C	B
D	A	D	D
A	C	A	A
C	A	D	D
A	B	D	A
B	C	D	B
B	D	B	A
A	B	C	A
B	B	D	D
D	A	D	C
B	D	B	B
B	B	B	B
C	C	A	A
B	A	B	B
A	A	C	D
D	C	D	C
C	C	C	C
D	A	B	B
A	A	A	B
C	C	B	D
B	D	D	D
D	C	B	D
C	C	A	D
D	C	B	D
C	D	C	B
C	C	B	D
D	C	C	D
A	C	C	B
B	A	C	B
C	B	B	D
C	C	B	A
B	B	B	B
D	A	C	B
B	C	D	A
A	A	A	C
A	D	B	D
A	C	A	D
B	C	B	A
C	B	A	C
C	B	B	B
B	C	D	C
D	A	D	B
B	C	D	B
B	A	B	A
B	B	C	B
C	A	B	C
B	B	A	B
B	D	A	A
D	B	B	D
A	D	B	B
D	D	D	D
B	B	C	B
D	A	B	D
B	B	B	A
B	C	D	D
B	B	C	B
D	C	A	A
D	D	A	B
B	D	D	D
D	B	C	B
D	B	A	C
B	D	A	D
C	C	A	A
B	C	B	C
B	C	A	C
D	D	B	B
A	B	A	B
C	A	B	C
A	D	A	D
A	C	B	A
A	D	D	A
A	A	A	B
A	D	C	B
C	C	D	D
D	D	B	A
D	C	A	B
